,line,stopno,on,off
3145,143,3152,313.3703703703704,463.8888888888889
3146,406,3152,83.92592592592592,124.37037037037037
3147,406,3153,99.03703703703704,104.88888888888889
3148,401,3153,121.0,195.92592592592592
3149,100,3153,145.92592592592592,158.33333333333334
3150,740,3153,233.5185185185185,246.85185185185185
3151,143,3153,318.3703703703704,381.25925925925924
3152,406,3154,85.55555555555556,70.55555555555556
3153,401,3154,154.55555555555554,78.48148148148148
3154,100,3154,84.4074074074074,11.37037037037037
3155,740,3154,147.4814814814815,251.92592592592592
3156,143,3154,323.6666666666667,297.2962962962963
3157,406,3155,125.07407407407408,119.48148148148148
3158,401,3155,143.40740740740742,249.03703703703704
3159,100,3155,60.55555555555556,208.96296296296296
3160,740,3155,413.0740740740741,289.962962962963
3161,143,3155,369.44444444444446,531.1481481481482
3162,406,3156,117.37037037037037,80.74074074074075
3163,401,3156,193.14814814814815,81.44444444444444
3164,405,3156,144.40740740740742,124.62962962962963
3165,740,3156,243.74074074074073,297.6666666666667
3166,143,3156,452.6296296296296,258.037037037037
3167,502,3157,24.444444444444443,373.3703703703704
3168,400,3157,201.14814814814815,153.0
3169,405,3157,198.5185185185185,88.29629629629629
3170,2016,3157,147.66666666666666,109.55555555555556
3171,100,3157,102.4074074074074,120.44444444444444
3172,6211,3157,105.14814814814815,140.62962962962962
3173,420,3158,33.96296296296296,156.25925925925927
3174,402,3158,130.85185185185185,32.148148148148145
3175,N13,3158,0.05263157894736842,2.789473684210526
3176,405,3158,56.925925925925924,46.94444444444444
3177,142,3158,34.22222222222222,126.62962962962963
3178,402,3159,23.74074074074074,94.92592592592592
3179,405,3159,12.481481481481481,30.14814814814815
3180,420,3160,201.4814814814815,197.03703703703704
3181,402,3160,130.62962962962962,129.8148148148148
3182,144,3160,141.37037037037038,239.62962962962962
3183,N13,3160,9.907407407407407,3.2222222222222223
3184,6211,3160,68.88888888888889,86.29629629629629
3185,142,3160,148.1851851851852,160.59259259259258
3186,420,3161,562.5925925925926,399.55555555555554
3187,110B,3161,143.56,311.08
3188,400,3161,138.44,161.76
3189,402,3161,331.962962962963,469.3333333333333
3190,144,3161,416.44444444444446,356.8888888888889
3191,N13,3161,5.407407407407407,9.62962962962963
3192,6211,3161,201.37037037037038,152.96296296296296
3193,3011,3161,369.25925925925924,239.92592592592592
3194,142,3161,314.6296296296296,322.3703703703704
3195,470,3162,368.48148148148147,95.77777777777777
3196,420,3162,819.2592592592592,215.1851851851852
3197,472,3162,494.48148148148147,222.07407407407408
3198,N37,3162,6.0,1.7547169811320755
3199,741,3162,229.84615384615384,72.0
3200,400,3162,470.16,97.32
3201,402,3162,535.2222222222222,141.2962962962963
3202,144,3162,837.8148148148148,162.33333333333334
3203,110A,3162,1263.2307692307693,368.4230769230769
3204,N13,3162,4.188679245283019,2.7358490566037736
3205,471,3162,298.5,127.14285714285714
3206,140,3162,483.44444444444446,113.88888888888889
3207,6211,3162,409.51851851851853,316.6296296296296
3208,3011,3162,83.14814814814815,125.37037037037037
